GRD_NEWIDS,POB
1kmN2032E3143,3280
1kmN2032E3144,920
1kmN2032E3147,50
1kmN2032E3148,845
1kmN2032E3149,65
1kmN2032E3150,2280
1kmN2032E3151,585
1kmN2032E3152,315
1kmN2032E3153,280
1kmN2032E3156,110
1kmN2032E3157,235
1kmN2032E3158,16675
1kmN2032E3159,26330
1kmN2032E3160,25955
1kmN2032E3161,8910
1kmN2032E3162,39625
1kmN2032E3163,19295
1kmN2032E3164,8600
1kmN2032E3165,2890
1kmN2032E3166,2655
1kmN2032E3167,6035
1kmN2032E3168,1200
1kmN2032E3169,13030
1kmN2032E3170,5000
1kmN2032E3176,165
1kmN2032E3177,170
1kmN2033E3133,10
1kmN2033E3134,4495
1kmN2033E3137,20
1kmN2033E3138,180
1kmN2033E3142,810
1kmN2033E3143,4540
1kmN2033E3144,1850
1kmN2033E3145,295
1kmN2033E3147,560
1kmN2033E3149,910
1kmN2033E3150,12755
1kmN2033E3151,8890
1kmN2033E3152,5720
1kmN2033E3153,135
1kmN2033E3157,50
1kmN2033E3158,2960
1kmN2033E3159,29340
1kmN2033E3160,30525
1kmN2033E3161,12070
1kmN2033E3162,23570
1kmN2033E3163,12755
1kmN2033E3164,9650
1kmN2033E3165,10825
1kmN2033E3166,12705
1kmN2033E3169,6400
1kmN2033E3170,7075
1kmN2033E3171,35
1kmN2033E3176,600
1kmN2033E3177,20
1kmN2034E3126,0
1kmN2034E3129,15
1kmN2034E3133,55
1kmN2034E3134,300
1kmN2034E3136,695
1kmN2034E3137,305
1kmN2034E3138,0
1kmN2034E3141,775
1kmN2034E3142,670
1kmN2034E3143,455
1kmN2034E3144,990
1kmN2034E3145,90
1kmN2034E3146,200
1kmN2034E3147,795
1kmN2034E3148,310
1kmN2034E3149,455
1kmN2034E3150,2020
1kmN2034E3151,6155
1kmN2034E3152,6920
1kmN2034E3153,7655
1kmN2034E3154,1720
1kmN2034E3155,75
1kmN2034E3158,230
1kmN2034E3159,23075
1kmN2034E3160,38830
1kmN2034E3161,16455
1kmN2034E3162,13485
1kmN2034E3163,7630
1kmN2034E3164,13010
1kmN2034E3165,17235
1kmN2034E3166,15385
1kmN2034E3169,1165
1kmN2034E3170,7485
1kmN2034E3171,1490
1kmN2034E3176,105
1kmN2035E3134,20
1kmN2035E3135,20
1kmN2035E3136,715
1kmN2035E3137,70
1kmN2035E3141,405
1kmN2035E3142,710
1kmN2035E3143,620
1kmN2035E3144,415
1kmN2035E3145,1470
1kmN2035E3146,3840
1kmN2035E3147,1150
1kmN2035E3148,520
